cfb_season,college,ap_rank,nfl_players,pro_bowls,all_pros,player_list
2000,Oklahoma,1,19,10,2,Andre Woolfolk|Antonio Perkins|Brandon Jones|Brodney Pool|Derrick Strait|Donte Nicholson|Jammal Brown|Jimmy Wilkerson|Lance Mitchell|Mark Bradley|Mark Clayton|Michael Hawkins|Quentin Griffin|Rocky Calmus|Roy Williams|Teddy Lehman|Tommie Harris|Torrance Marshall|Wes Sims
2000,Miami,2,37,54,10,Andre Johnson|Andre King|Andrew Williams|Antrel Rolle|Bryant McKinnie|Chris Myers|Clinton Portis|D.J. Williams|Damione Lewis|Dan Morgan|Darrell McClover|Daryl Jones|Ed Reed|Frank Gore|Jamaal Green|James Jackson|Jeremy Shockey|Jerome McDougle|Joaquin Gonzalez|Jonathan Vilma|Kellen Winslow|Ken Dorsey|Kevin Everett|Leonard Myers|Martin Bibla|Matt Walters|Mike Rumph|Najeh Davenport|Phillip Buchanon|Reggie Wayne|Roscoe Parrish|Santana Moss|Sean Taylor|Vernon Carey|Vince Wilfork|William Joseph|Willis McGahee
2000,Washington,3,10,0,0,Cody Pickett|Hakim Akbar|Jerramy Stevens|Khalif Barnes|Larry Tripplett|Marques Tuiasosopo|Marquis Cooper|Omare Lowe|Reggie Williams|Tank Johnson
2000,Oregon State,4,13,11,2,Bill Swancutt|Chad Johnson|DeLawrence Grant|Dennis Weathersby|Derek Anderson|Doug Nienhuis|Dwan Edwards|James Allen|Nick Barnett|Richard Seigler|Steven Jackson|T.J. Houshmandzadeh|Tim Euhus
2000,Florida State,5,29,8,0,Alex Barron|Alonzo Jackson|Anquan Boldin|Brett Williams|Brian Allen|Bryant McFadden|Char-ron Dorsey|Chauncey Davis|Chris Hope|Chris Weinke|Craphonso Thorpe|Darnell Dockett|Derrick Gibson|Eric Moore|Greg Jones|Jamal Reynolds|Javon Walker|Jerome Carter|Kendyll Pope|Michael Boulware|Montrae Holland|Ray Willis|Snoop Minnis|Talman Gardner|Tay Cody|Todd Williams|Tommy Polley|Travis Johnson|Travis Minor
2000,Virginia Tech,6,15,7,0,Andre Davis|Ben Taylor|Chad Beasley|Cory Bird|David Pugh|DeAngelo Hall|Eric Green|Ernest Wilford|Jake Grove|Kevin Jones|Lee Suggs|Matt Lehr|Mike Vick|Vincent Fuller|Willie Pile
2000,Oregon,7,16,0,0,A.J. Feeley|Adam Snyder|George Wrighster|Igor Olshansky|Joey Harrington|Junior Siavii|Justin Peelle|Keenan Howry|Keith Lewis|Marcus Maxwell|Maurice Morris|Onterrio Smith|Rashad Bauman|Samie Parker|Steve Smith|Wesly Mallard
2000,Nebraska,8,20,8,0,Barrett Ruud|Carlos Polk|Chris Kelsay|Correll Buckhalter|Dan Alexander|Dejuan Groce|Demorrio Williams|Dominic Raiola|Fabian Washington|Jammal Lord|Josh Brown|Josh Bullocks|Keyuo Craver|Kyle Vanden Bosch|Richie Incognito|Russ Hochstein|Ryon Bingham|Scott Shanle|Toniu Fonoti|Trevor Johnson
2000,Kansas State,9,18,5,0,Ben Leber|Darren Sproles|Demarcus Faggins|Jarrod Cooper|Jerametrius Butler|Jon McGraw|Josh Scobey|Mario Fatafehi|Melvin Williams|Monty Beisel|Nick Leckey|Quincy Morgan|Rashad Washington|Rock Cartwright|Shad Meier|Taco Wallace|Terence Newman|Terry Pierce
2000,Florida,10,25,2,1,Aaron Walker|Alex Brown|Andra Davis|Ben Troupe|Bobby McCray|Channing Crowder|Ciatrick Fason|Gerard Warren|Ian Scott|Jabar Gaffney|Jeff Chandler|Jesse Palmer|Keiwan Ratliff|Kenyatta Walker|Lito Sheppard|Marquand Manuel|Max Starks|Mike Nattiel|Mike Pearson|Reche Caldwell|Rex Grossman|Reynaldo Hill|Taylor Jacobs|Todd Johnson|Tron LaFavor
2000,Notre Dame,11,21,2,1,Anthony Denman|Anthony Weaver|Arnaz Battle|Brock Williams|Courtney Watson|David Givens|Gerome Sapp|Glenn Earl|Jabari Holloway|Jeff Faine|Jerome Collins|Jim Molinaro|John Owens|Jordan Black|Julius Jones|Justin Tuck|Mike Gandy|Rocky Boiman|Sean Mahan|Tony Driver|Tyreo Harrison
2000,Purdue,12,18,18,2,Akin Ayodele|Brandon Gorin|Chukky Okobi|Craig Terrill|Drew Brees|Gilbert Gardner|Jacques Reeves|Joe Odom|Kelly Butler|Kyle Orton|Landon Johnson|Matt Light|Nick Hardwick|Niko Koutouvides|Shaun Phillips|Stuart Schweigert|Travis Dorsch|Vinny Sutherland
2000,Colorado,13,11,6,0,Andre Gurode|Chris Brown|D.J. Hackett|Daniel Graham|Donald Strickland|Justin Bannan|Michael Lewis|Sean Tufts|Tyler Brayton|Victor Rogers|Wayne Lucier
2000,Texas,14,15,17,1,Bo Scaife|Casey Hampton|Cedric Benson|Chris Simms|Cory Redding|Cullen Loeffler|Derrick Dockery|Derrick Johnson|Leonard Davis|Marcus Tubbs|Mike Williams|Nathan Vasher|Quentin Jammer|Roy Williams|Shaun Rogers
2000,Clemson,15,7,1,0,Derrick Hamilton|Justin Miller|Keith Adams|LeRoy Hill|Nick Eason|Robert Carswell|Rod Gardner
2000,TCU,16,10,7,3,Aaron Schobel|Adrian Madise|Anthony Alabi|Bo Schobel|Cedric James|Curtis Fuller|George Layne|LaDainian Tomlinson|Matt Schobel|Shawn Worthen
2000,Georgia Tech,17,7,0,0,Chris Young|Daryl Smith|Jonathan Smith|Keyaron Fox|Nat Dorsey|Nick Rogers|Tony Hargrove
2000,Michigan,18,18,10,5,Anthony Thomas|B.J. Askew|Bennie Joppru|Braylon Edwards|Cato June|Chris Perry|David Baas|David Terrell|Drew Henson|Hayden Epstein|Jeff Backus|John Navarre|Jonathan Goodwin|Larry Foote|Marlin Jackson|Maurice Williams|Steve Hutchinson|Victor Hobson
2000,South Carolina,19,13,0,0,Andre' Goodman|Andrew Pinnock|Corey Jenkins|Darrell Shropshire|Dunta Robinson|John Stamper|Kalimba Edwards|Langston Moore|Rod Wilson|Sheldon Brown|Travelle Wharton|Troy Williamson|Willie Offord
